Name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,ID
"Hyundai Accent GLE",2003,59000,70000,Petrol,Individual,Manual,"Second Owner","13.2 kmpl","1495 CC","94 bhp","12.5@ 3,500(kgm@ rpm)",5,83
"Hyundai Accent GLS 1.6 ABS",2003,80000,40000,Petrol,Individual,Manual,"Second Owner","14.4 kmpl","1599 CC","94 bhp","12.5kgm@ 3500rpm",5,84
"Hyundai Accent GLX",2003,110000,90000,Petrol,Individual,Manual,"Second Owner","13.2 kmpl","1495 CC","94 bhp","12.5@ 3,500(kgm@ rpm)",5,85
"Hyundai Accent VIVA CRDi",2003,145000,120000,Diesel,Individual,Manual,"Fourth & Above Owner","13.1 kmpl","1493 CC","82 bhp","187Nm@ 2500rpm",5,86
"Mahindra Bolero ZLX BSIII",2003,150000,132478,Diesel,Individual,Manual,"Second Owner","13.6 kmpl","2523 CC","63 bhp","180 Nm at 1440-1500rpm",7,87
"Mahindra Scorpio 2.6 CRDe",2003,300000,98000,Diesel,Individual,Manual,"First Owner","10.5 kmpl","2179 CC","120 bhp","290Nm@ 1800-2800rpm",8,88
"Mahindra Scorpio 2.6 DX",2003,125000,120000,Diesel,Individual,Manual,"Third Owner","12.7 kmpl","2609 CC","116.6 bhp","28.3@ 1,700-2,200(kgm@ rpm)",8,89
"Mahindra Scorpio 2.6 SLX Turbo 7 Seater",2003,195000,157138,Diesel,Individual,Manual,"Third Owner","10.5 kmpl","2179 CC","120 bhp","290Nm@ 1800-2800rpm",7,90
"Mahindra Scorpio 2.6 SLX Turbo 7 Seater",2003,200000,120000,Diesel,Individual,Manual,"Second Owner","10.5 kmpl","2179 CC","120 bhp","290Nm@ 1800-2800rpm",7,91
"Maruti 800 EX BSII",2003,55599,36088,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,92
"Maruti 800 EX BSII",2003,55599,36088,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,93
"Maruti 800 Std",2003,45000,58000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,94
"Maruti 800 Std",2003,50000,50000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,95
"Maruti 800 Std BSII",2003,35000,35000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,96
"Maruti 800 Std MPFi",2003,45000,90000,Petrol,Individual,Manual,"Fourth & Above Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,97
"Maruti 800 Std MPFi",2003,42000,62000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,98
"Maruti 800 Std MPFi",2003,65000,90000,Petrol,Individual,Manual,"Fourth & Above Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,99
"Maruti 800 Std MPFi",2003,45000,35000,Petrol,Individual,Manual,"Fourth & Above Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,100
"Maruti Alto LX",2003,100000,164000,Petrol,Individual,Manual,"Third Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,101
"Maruti Alto LXI",2003,65000,114000,Petrol,Individual,Manual,"First Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,102
"Maruti Esteem DI",2003,70000,20000,Diesel,Individual,Manual,"First Owner","15.9 kmpl","1527 CC","57 bhp","96Nm@ 2500rpm",5,103
"Maruti Wagon R LXI",2003,135000,40000,Petrol,Individual,Manual,"First Owner","18.9 kmpl","998 CC","67.1 bhp","90Nm@ 3500rpm",5,104
"Maruti Wagon R LXI",2003,55000,167000,Petrol,Individual,Manual,"Second Owner","18.9 kmpl","998 CC","67.1 bhp","90Nm@ 3500rpm",5,105
"Maruti Wagon R LXI",2003,50000,147000,Petrol,Individual,Manual,"Fourth & Above Owner","18.9 kmpl","998 CC","67.1 bhp","90Nm@ 3500rpm",5,106
"Maruti Wagon R LXI",2003,145000,65000,Petrol,Individual,Manual,"Third Owner","18.9 kmpl","998 CC","67.1 bhp","90Nm@ 3500rpm",5,107
"Maruti Wagon R VXI",2003,65000,70000,Petrol,Individual,Manual,"Fourth & Above Owner","18.9 kmpl","998 CC","67.1 bhp","90Nm@ 3500rpm",5,108
"Maruti Zen D",2003,85000,120000,Diesel,Individual,Manual,"Third Owner","20.8 kmpl","1527 CC","58 bhp","789Nm@ 2250rpm",5,109
"Maruti Zen LX",2003,58000,170000,Petrol,Individual,Manual,"Third Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,110
"Maruti Zen LXI",2003,65000,60000,Petrol,Individual,Manual,"Fourth & Above Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,111
"Maruti Zen VXI",2003,200000,121000,Petrol,Individual,Manual,"First Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,112
"Maruti Zen VXi - BS III",2003,120000,120000,Petrol,Individual,Manual,"Third Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,113
"Skoda Octavia Ambiente 1.9 TDI MT",2003,100000,250000,Diesel,Individual,Manual,"Second Owner","18.7 kmpl","1896 CC","66 bhp","210 / 1900",5,114
"Toyota Corolla AE",2003,145000,70000,Petrol,Individual,Manual,"Second Owner","13.4 kmpl","1794 CC","125 bhp","16.1@ 4,200(kgm@ rpm)",5,115
"Ford Endeavour 2.5L 4X2 MT",2004,400000,93415,Diesel,Dealer,Manual,"First Owner","13.1 kmpl","2499 CC","141 bhp","330Nm@ 1800rpm",7,116
"Ford Ikon 1.6 Nxt",2004,100000,25000,Petrol,Individual,Manual,"Third Owner","14.2 kmpl","1597 CC","92 bhp","130@ 2500(kgm@ rpm)",5,117
"Honda Accord V6 AT",2004,275000,100000,Petrol,Individual,Automatic,"Second Owner","9.0 kmpl","2997 CC","218 bhp","196Nm@ 5000rpm",5,118
"Honda City 1.3 EXI",2004,135000,120000,Petrol,Individual,Manual,"Second Owner","13.0 kmpl","1343 CC","90 bhp","11.3kgm@ 4700rpm",5,119
"Honda City 1.3 EXI",2004,50000,62000,Petrol,Individual,Manual,"Second Owner","13.0 kmpl","1343 CC","90 bhp","11.3kgm@ 4700rpm",5,120
"Honda City 1.5 GXI",2004,198000,110000,Petrol,Individual,Manual,"Third Owner","12.8 kmpl","1493 CC","100 bhp","13.1kgm@ 4600rpm",5,121
"Honda City 1.5 GXI",2004,198000,110000,Petrol,Individual,Manual,"Third Owner","12.8 kmpl","1493 CC","100 bhp","13.1kgm@ 4600rpm",5,122
"Honda CR-V 2.4 4WD AT",2004,325000,120000,Petrol,Individual,Automatic,"Third Owner","10.1 kmpl","2354 CC","152 bhp","215Nm@ 3600rpm",5,123
"Hyundai Accent GLE",2004,80000,120000,Petrol,Individual,Manual,"Second Owner","13.2 kmpl","1495 CC","94 bhp","12.5@ 3,500(kgm@ rpm)",5,124
"Hyundai Accent GLS 1.6",2004,110000,120000,Petrol,Individual,Manual,"Fourth & Above Owner","14.4 kmpl","1599 CC","94 bhp","12.5kgm@ 3500rpm",5,125
"Hyundai Accent GLS 1.6 ABS",2004,110000,110000,Petrol,Individual,Manual,"Second Owner","14.4 kmpl","1599 CC","94 bhp","12.5kgm@ 3500rpm",5,126
"Hyundai Accent VIVA CRDi",2004,170000,160000,Diesel,Individual,Manual,"Third Owner","13.1 kmpl","1493 CC","82 bhp","187Nm@ 2500rpm",5,127
"Mahindra Bolero DI",2004,120000,150000,Diesel,Individual,Manual,"Second Owner","13.6 kmpl","2523 CC","63 bhp","180 Nm at 1440-1500rpm",7,128
"Mahindra Scorpio 2.6 SLX Turbo 7 Seater",2004,120000,100000,Diesel,Individual,Manual,"Fourth & Above Owner","10.5 kmpl","2179 CC","120 bhp","290Nm@ 1800-2800rpm",7,129
"Maruti 800 AC",2004,50000,50000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,130
"Maruti 800 AC BSII",2004,55000,50000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,131
"Maruti 800 AC BSIII",2004,120000,80000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,132
"Maruti 800 AC BSIII",2004,120000,80000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,133
"Maruti 800 AC BSIII",2004,81000,80000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,134
"Maruti 800 AC Uniq",2004,50000,18000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,135
"Maruti 800 EX",2004,70000,220000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,136
"Maruti 800 Std",2004,31504,110000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,137
"Maruti 800 Std",2004,40000,57000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,138
"Maruti 800 Std",2004,40000,120000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,139
"Maruti 800 Std BSII",2004,75000,46000,Petrol,Individual,Manual,"Fourth & Above Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,140
"Maruti 800 Std BSII",2004,45000,77000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,141
"Maruti 800 Std BSIII",2004,65000,56432,Petrol,Dealer,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,142
"Maruti Alto LX",2004,90000,70000,Petrol,Individual,Manual,"Fourth & Above Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,143
"Maruti Alto LX",2004,90000,60000,Petrol,Individual,Manual,"First Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,144
"Maruti Alto LX",2004,100000,100000,Petrol,Individual,Manual,"Second Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,145
"Maruti Alto LX",2004,60000,113000,Petrol,Individual,Manual,"Second Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,146
"Maruti Alto LX",2004,100000,40000,Petrol,Individual,Manual,"First Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,147
"Maruti Alto LXI",2004,90000,110000,Petrol,Individual,Manual,"Third Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,148
"Maruti Alto LXI",2004,70000,70000,Petrol,Individual,Manual,"Second Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,149
"Maruti Alto LXI",2004,105000,96000,Petrol,Individual,Manual,"Third Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,150
"Maruti Alto LXI",2004,118000,60000,Petrol,Individual,Manual,"Second Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,151
"Maruti Wagon R LXI",2004,85000,110000,Petrol,Individual,Manual,"First Owner","18.9 kmpl","998 CC","67.1 bhp","90Nm@ 3500rpm",5,152
"Maruti Wagon R LXI",2004,70000,70000,Petrol,Individual,Manual,"Second Owner","18.9 kmpl","998 CC","67.1 bhp","90Nm@ 3500rpm",5,153
"Maruti Wagon R LXI",2004,120000,120000,Petrol,Individual,Manual,"Third Owner","18.9 kmpl","998 CC","67.1 bhp","90Nm@ 3500rpm",5,154
"Maruti Wagon R VXI",2004,33351,90000,Petrol,Individual,Manual,"Third Owner","18.9 kmpl","998 CC","67.1 bhp","90Nm@ 3500rpm",5,155
"Maruti Zen LXI",2004,70000,150000,Petrol,Individual,Manual,"First Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,156
"Maruti Zen LXi - BS III",2004,120000,80000,Petrol,Individual,Manual,"Second Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,157
"Tata Indica V2 DLS TC",2004,50000,271000,Diesel,Individual,Manual,"First Owner","16.8 kmpl","1405 CC","62 bhp","12.5@ 2,500(kgm@ rpm)",5,158
"Tata Indica V2 DLS TC",2004,85000,120000,Diesel,Individual,Manual,"Second Owner","16.8 kmpl","1405 CC","62 bhp","12.5@ 2,500(kgm@ rpm)",5,159
"Tata Indica V2 DLS TC",2004,100000,40000,Diesel,Individual,Manual,"Second Owner","16.8 kmpl","1405 CC","62 bhp","12.5@ 2,500(kgm@ rpm)",5,160
"Tata Indica V2 DLS TC",2004,55000,90000,Diesel,Individual,Manual,"Third Owner","16.8 kmpl","1405 CC","62 bhp","12.5@ 2,500(kgm@ rpm)",5,161
"Tata Indigo LS",2004,80000,248200,Diesel,Individual,Manual,"Second Owner","16.1 kmpl","1405 CC","70 bhp","13.5@ 2,500(kgm@ rpm)",5,162
"Tata Indigo LX",2004,100000,60000,Diesel,Individual,Manual,"Third Owner","16.1 kmpl","1405 CC","70 bhp","13.5@ 2,500(kgm@ rpm)",5,163
"Toyota Camry V4 (MT)",2004,250000,120000,Petrol,Individual,Manual,"Second Owner","13.4 kmpl","2362 CC","164.7 bhp","224Nm@ 4000rpm",5,164
"Toyota Corolla AE",2004,135000,90000,Petrol,Individual,Manual,"Second Owner","13.4 kmpl","1794 CC","125 bhp","16.1@ 4,200(kgm@ rpm)",5,165
"Toyota Corolla AE",2004,170000,120000,Petrol,Individual,Manual,"Second Owner","13.4 kmpl","1794 CC","125 bhp","16.1@ 4,200(kgm@ rpm)",5,166
"Chevrolet Tavera B3 LT L1 10 Seats BSIII",2005,160000,220000,Diesel,Individual,Manual,"First Owner","14.8 kmpl","2499 CC","80 bhp","19@ 1,800(kgm@ rpm)",10,167
"Ford Fiesta 1.4 TDCi EXI",2005,150000,120000,Diesel,Individual,Manual,"Third Owner","17.8 kmpl","1399 CC","68 bhp","16.3@ 2,000(kgm@ rpm)",5,168
